Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Add_Tiling,204.89,7,29.27,11.62,57.15,311.926
host,acl,BroadcastTo_Tiling,47.64,1,47.64,47.64,47.64,0
host,acl,Cast_Tiling,431.73,13,33.21,11.69,63.22,261.243
host,acl,ChunkBwdDqkwg_Tiling,20.76,2,10.38,1.15,19.61,85.193
host,acl,ChunkBwdDvLocal_Tiling,16.62,2,8.31,1.08,15.54,52.273
host,acl,ChunkFwdO_Tiling,15.03,2,7.515,1.12,13.91,40.896
host,acl,ChunkGatedDeltaRuleBwdDhu_Tiling,24.81,2,12.405,1.11,23.7,127.577
host,acl,ChunkGatedDeltaRuleFwdH_Tiling,41.55,4,10.388,0.41,21.93,96.477
host,acl,Fill_Tiling,60.65,1,60.65,60.65,60.65,0
host,acl,FloorDiv_Tiling,92.93,5,18.586,10.57,43.1,155.968
host,acl,IsFinite_Tiling,28.54,6,4.757,0.49,9.48,15.778
host,acl,LogSigmoid_Tiling,13.4,1,13.4,13.4,13.4,0
host,acl,LpNormV2_Tiling,145.2,4,36.3,0.48,125.92,2718.86
host,acl,Mul_Tiling,67.99,2,33.995,21.88,46.11,146.773
host,acl,Pow_Tiling,46.78,1,46.78,46.78,46.78,0
host,acl,Pows_Tiling,39.13,2,19.565,1.22,37.91,336.539
host,acl,PrepareWyReprBwdDa_Tiling,26.47,2,13.235,0.87,25.6,152.893
host,acl,PrepareWyReprBwdFull_Tiling,27.19,2,13.595,0.94,26.25,160.149
host,acl,RealDiv_Tiling,45.85,1,45.85,45.85,45.85,0
host,acl,RecomputeWUFwd_Tiling,97.76,4,24.44,0.39,60.11,637.097
host,acl,ReduceAll_Tiling,216.84,6,36.14,0.3,131.36,2237.51
host,acl,ReduceMax_Tiling,395.91,2,197.955,1.62,394.29,38547.432
host,acl,ReduceMean_Tiling,444.73,4,111.182,0.64,411.39,30181.772
host,acl,ReduceMin_Tiling,44.95,2,22.475,1.7,43.25,431.601
host,acl,Sigmoid_Tiling,27.47,1,27.47,27.47,27.47,0
host,acl,Sub_Tiling,406.58,2,203.29,20.86,385.72,33280.705
host,acl,Transpose_Tiling,369.26,22,16.785,0.23,88.84,649.761
host,acl,ZerosLike_Tiling,180.08,5,36.016,15.84,58.86,329.409
host,acl,aclmdlRICaptureGetInfo,17.72,31,0.572,0.25,2.65,0.329
host,acl,aclnnAddGetWorkspaceSize,2841.08,2,1420.54,1384.4,1456.68,1306.1
host,acl,aclnnAdds,3343.47,5,668.694,40.56,3152.02,1541807.458
host,acl,aclnnAddsGetWorkspaceSize,2682.11,5,536.422,30.77,2550.87,1014507.906
host,acl,aclnnAll,7022.97,6,1170.495,9.55,6888.38,6539087.645
host,acl,aclnnAllGetWorkspaceSize,9451.34,3,3150.447,62.69,9278.26,18775427.339
host,acl,aclnnChunkBwdDqkwg,388.09,1,388.09,388.09,388.09,0
host,acl,aclnnChunkBwdDqkwgGetWorkspaceSize,1443.11,1,1443.11,1443.11,1443.11,0
host,acl,aclnnChunkBwdDvLocal,993.53,1,993.53,993.53,993.53,0
host,acl,aclnnChunkBwdDvLocalGetWorkspaceSize,1194.22,1,1194.22,1194.22,1194.22,0
host,acl,aclnnChunkFwdO,553.29,1,553.29,553.29,553.29,0
host,acl,aclnnChunkFwdOGetWorkspaceSize,913.82,1,913.82,913.82,913.82,0
host,acl,aclnnChunkGatedDeltaRuleBwdDhu,436,1,436,436,436,0
host,acl,aclnnChunkGatedDeltaRuleBwdDhuGetWorkspaceSize,966.01,1,966.01,966.01,966.01,0
host,acl,aclnnChunkGatedDeltaRuleFwdH,716.32,2,358.16,38.94,677.38,101901.408
host,acl,aclnnChunkGatedDeltaRuleFwdHGetWorkspaceSize,1527.51,2,763.755,48.46,1479.05,511646.937
host,acl,aclnnDivs,5050.58,1,5050.58,5050.58,5050.58,0
host,acl,aclnnDivsGetWorkspaceSize,7100.91,1,7100.91,7100.91,7100.91,0
host,acl,aclnnFloorDivides,2988.07,5,597.614,36.39,2817.26,1231730.1
host,acl,aclnnFloorDividesGetWorkspaceSize,2768.38,5,553.676,21.24,2677.13,1127266.18
host,acl,aclnnInplaceAdd,5754.65,2,2877.325,2689.52,3065.13,35270.718
host,acl,aclnnInplaceCopy,5648,31,182.194,7.54,1852.97,172255.217
host,acl,aclnnInplaceCopyGetWorkspaceSize,10076.59,20,503.83,21.31,6515.51,2078397.94
host,acl,aclnnInplaceFillScalar,2756.19,1,2756.19,2756.19,2756.19,0
host,acl,aclnnInplaceFillScalarGetWorkspaceSize,2384.03,1,2384.03,2384.03,2384.03,0
host,acl,aclnnInplaceNormal,1066.88,4,266.72,99.51,683.89,58329.147
host,acl,aclnnInplaceNormalGetWorkspaceSize,483.54,4,120.885,33,365.85,20022.276
host,acl,aclnnInplaceUniform,60.72,1,60.72,60.72,60.72,0
host,acl,aclnnInplaceUniformGetWorkspaceSize,38.6,1,38.6,38.6,38.6,0
host,acl,aclnnInplaceZero,1660,5,332,45.99,773.06,104431.707
host,acl,aclnnInplaceZeroGetWorkspaceSize,1768.07,5,353.614,24.32,1274.23,233775.17
host,acl,aclnnIsFinite,624.91,6,104.152,7.15,527.88,36092.899
host,acl,aclnnIsFiniteGetWorkspaceSize,1085.67,3,361.89,32.45,1007.66,208538.092
host,acl,aclnnLinalgVectorNorm,6498.81,5,1299.762,8.75,6425.82,6569217.581
host,acl,aclnnLinalgVectorNormGetWorkspaceSize,15137.23,2,7568.615,88.53,15048.7,55951671.607
host,acl,aclnnLogSigmoidForward,596.57,1,596.57,596.57,596.57,0
host,acl,aclnnLogSigmoidForwardGetWorkspaceSize,986.26,1,986.26,986.26,986.26,0
host,acl,aclnnMax,4964.32,1,4964.32,4964.32,4964.32,0
host,acl,aclnnMaxGetWorkspaceSize,12253.42,1,12253.42,12253.42,12253.42,0
host,acl,aclnnMean,8701.02,2,4350.51,68.43,8632.59,18336209.126
host,acl,aclnnMeanGetWorkspaceSize,21341.61,2,10670.805,78.22,21263.39,112202856.982
host,acl,aclnnMin,4724.07,1,4724.07,4724.07,4724.07,0
host,acl,aclnnMinGetWorkspaceSize,13208.66,1,13208.66,13208.66,13208.66,0
host,acl,aclnnMul,79.05,1,79.05,79.05,79.05,0
host,acl,aclnnMulGetWorkspaceSize,35.12,1,35.12,35.12,35.12,0
host,acl,aclnnMuls,2617.83,1,2617.83,2617.83,2617.83,0
host,acl,aclnnMulsGetWorkspaceSize,2936.21,1,2936.21,2936.21,2936.21,0
host,acl,aclnnPowTensorScalar,3603.57,2,1801.785,540.4,3063.17,1591092.118
host,acl,aclnnPowTensorScalarGetWorkspaceSize,3401.48,2,1700.74,1120.07,2281.41,337177.649
host,acl,aclnnPrepareWyReprBwdDa,331.97,1,331.97,331.97,331.97,0
host,acl,aclnnPrepareWyReprBwdDaGetWorkspaceSize,1234.77,1,1234.77,1234.77,1234.77,0
host,acl,aclnnPrepareWyReprBwdFull,400.79,1,400.79,400.79,400.79,0
