Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
2,DSARandomNormal,DSA_SQE,4,4755.715,13.6,1188.929,1582.552,35.698
2,ChunkBwdDqkwg,MIX_AIC,1,1106.062,1106.062,1106.062,1106.062,8.303
2,PrepareWyReprBwdFull,MIX_AIC,1,805.656,805.656,805.656,805.656,6.048
2,ChunkGatedDeltaRuleFwdH,MIX_AIC,2,713.074,354.827,356.537,358.247,5.353
2,ChunkGatedDeltaRuleBwdDhu,MIX_AIC,1,588.852,588.852,588.852,588.852,4.42
2,Pow,AI_VECTOR_CORE,1,482.87,482.87,482.87,482.87,3.625
2,RecomputeWUFwd,MIX_AIC,2,464.889,222.424,232.445,242.465,3.49
2,Cast,AI_VECTOR_CORE,22,431.989,2.14,19.636,52.601,3.243
2,PrepareWyReprBwdDa,MIX_AIC,1,430.649,430.649,430.649,430.649,3.233
2,l2norm_bwd_kernel,AI_VECTOR_CORE,2,401.848,165.343,200.924,236.505,3.016
2,ChunkBwdDvLocal,MIX_AIC,1,357.767,357.767,357.767,357.767,2.686
2,Transpose,AI_VECTOR_CORE,13,287.726,10.22,22.133,60.761,2.16
2,chunk_scaled_dot_kkt_fwd_kernel,MIX_AIC,1,287.106,287.106,287.106,287.106,2.155
2,l2norm_fwd_kernel,AI_VECTOR_CORE,2,278.846,105.782,139.423,173.063,2.093
2,ChunkFwdO,MIX_AIC,1,248.545,248.545,248.545,248.545,1.866
2,merge_16x16_to_32x32_inverse_kernel,MIX_AIC,1,236.985,236.985,236.985,236.985,1.779
2,IsFinite,AI_VECTOR_CORE,6,229.365,5.24,38.227,56.021,1.722
2,solve_tril_16x16_kernel_paral_v3,AI_VECTOR_CORE,1,195.644,195.644,195.644,195.644,1.469
2,Mul,AI_VECTOR_CORE,2,179.764,51.941,89.882,127.823,1.349
2,LpNormV2,MIX_AIV,5,139.123,11.58,27.825,44.081,1.044
2,merge_32x32_to_64x64_inverse_kernel,MIX_AIC,1,125.103,125.103,125.103,125.103,0.939
2,ZerosLike,AI_VECTOR_CORE,5,117.942,1.98,23.588,52.201,0.885
2,ReduceAll,MIX_AIV,6,114.682,7.76,19.114,27.581,0.861
2,Add,AI_VECTOR_CORE,7,75.802,2.5,10.829,55.721,0.569
2,BroadcastTo,AI_VECTOR_CORE,1,46.341,46.341,46.341,46.341,0.348
2,Pows,AI_VECTOR_CORE,1,42.781,42.781,42.781,42.781,0.321
2,ReduceMean,MIX_AIV,2,39.121,3.38,19.56,35.741,0.294
2,RealDiv,AI_VECTOR_CORE,1,38.261,38.261,38.261,38.261,0.287
2,Sub,AI_VECTOR_CORE,11,24.96,1.82,2.269,3.1,0.187
2,chunk_local_cumsum_scalar_kernel,AI_VECTOR_CORE,2,21.8,9.76,10.9,12.04,0.164
2,LogSigmoid,AI_VECTOR_CORE,1,10.34,10.34,10.34,10.34,0.078
2,preload_stack_16KB,MIX_AIC,1,9.72,9.72,9.72,9.72,0.073
2,DSARandomUniform,DSA_SQE,1,9.52,9.52,9.52,9.52,0.071
2,FloorDiv,AI_VECTOR_CORE,5,8.5,1.56,1.7,2,0.064
2,Sigmoid,AI_VECTOR_CORE,1,7.86,7.86,7.86,7.86,0.059
2,ReduceMax,MIX_AIV,1,2.78,2.78,2.78,2.78,0.021
2,ReduceMin,MIX_AIV,1,2.74,2.74,2.74,2.74,0.021
2,Fill,AI_VECTOR_CORE,1,1.28,1.28,1.28,1.28,0.01
