Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
2,4294967295,4,49,preload_stack_16KB,preload_stack_16KB,N/A,MIX_AIC,1783561391909745.638	,9.721,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,184762,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.313,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.796
2,4294967295,0,46,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783561392057128.343	,3.100,147372.779000,1,0,NO,"""4;4""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.643,4758,0.2,0.076,1.003,0.379,0.729,0.276,0.097,0.037,0.216,0.000
2,4294967295,1,46,aclnnInplaceCopy_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1783561392065240.325	,2.140,8108.900000,1,0,NO,"""4""",INT64,ND,"""4""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.689,3040,0.026,0.015,0.847,0.502,0.442,0.262,0.102,0.06,0.163,0.000
2,4294967295,2,46,aclnnMean_ReduceMeanAiCore_ReduceMean,ReduceMean,dynamic,MIX_AIV,1783561392095855.297	,3.380,30612.860000,1,0,NO,"""4;1""",FLOAT;INT64,ND;ND,"""""",FLOAT,ND,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.069,5525,0.054,0.018,1.205,0.393,0.107,0.035,0.108,0.035,0.217,0.000
2,4294967295,3,46,aclnnMin_ReduceMinAiCore_ReduceMin,ReduceMin,dynamic,MIX_AIV,1783561392115806.096	,2.740,19947.370000,1,0,NO,"""4;1""",INT64;INT64,ND;ND,"""""",INT64,ND,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.374,4274,0.061,0.026,1.097,0.462,0.431,0.182,0.107,0.045,0.175,0.000
2,4294967295,4,46,aclnnMax_ReduceMaxAiCore_ReduceMax,ReduceMax,dynamic,MIX_AIV,1783561392133948.758	,2.780,18140.010000,1,0,NO,"""4;1""",INT64;INT64,ND;ND,"""""",INT64,ND,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.422,4359,0.061,0.025,0.844,0.349,0.108,0.045,0.11,0.045,0.202,0.000
2,4294967295,6,46,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1783561392137409.367	,1582.552,3457.720000,0,0,NO,N/A,N/A,N/A,"""1,32,4087,128""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4294967295,7,46,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1783561392138991.939	,51.801,0.198000,40,0,NO,"""1,32,4087,128""",FLOAT,ND,"""1,32,4087,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.068,3316880,5.012,0.109,1.875,0.041,42.324,0.919,14.21,0.308,0.017,0.000
2,4294967295,9,46,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1783561392139046.020	,1581.191,2.199000,0,0,NO,N/A,N/A,N/A,"""1,32,4087,128""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4294967295,10,46,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1783561392140627.231	,46.701,0.059000,40,0,NO,"""1,32,4087,128""",FLOAT,ND,"""1,32,4087,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.176,3180677,5.006,0.113,1.53,0.035,43.04,0.974,13.538,0.306,0.0,0.000
2,4294967295,12,46,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1783561392140676.232	,1578.372,2.299000,0,0,NO,N/A,N/A,N/A,"""1,32,4087,128""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4294967295,13,46,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1783561392142254.644	,46.121,0.128000,40,0,NO,"""1,32,4087,128""",FLOAT,ND,"""1,32,4087,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.427,3126767,5.006,0.115,1.637,0.038,42.168,0.971,14.26,0.328,0.0,0.000
2,4294967295,15,46,aclnnInplaceUniform_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1783561392142303.065	,9.520,2.129000,0,0,NO,N/A,N/A,N/A,"""1,4087,32""",DT_BF16,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4294967295,16,46,aclnnSigmoid_SigmoidAiCore_Sigmoid,Sigmoid,dynamic,AI_VECTOR_CORE,1783561392143186.703	,7.860,874.230000,40,0,NO,"""1,4087,32""",DT_BF16,NCL,"""1,4087,32""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.715,339470,0.313,0.066,0.181,0.038,0.808,0.171,0.21,0.045,0.213,0.000
2,4294967295,18,46,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1783561392143623.651	,13.601,429.140000,0,0,NO,N/A,N/A,N/A,"""1,4087,32""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4294967295,19,46,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1783561392143694.973	,7.760,57.649000,40,0,NO,"""1,4087,32""",FLOAT,ND,"""1,4087,32""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.976,358259,0.051,0.01,0.194,0.039,1.304,0.262,0.183,0.037,0.108,0.000
2,4294967295,20,46,aclnnLogSigmoidForward_LogSigmoidAiCore_LogSigmoid,LogSigmoid,dynamic,AI_VECTOR_CORE,1783561392145066.040	,10.340,1363.240000,40,0,NO,"""1,4087,32""",DT_BF16,NCL,"""1,4087,32""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.031,506227,2.079,0.296,0.702,0.1,0.483,0.069,0.231,0.033,0.098,0.000
2,4294967295,21,46,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783561392145796.335	,1.880,719.910000,1,0,NO,"""4;4""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.319,2375,0.2,0.152,0.393,0.298,0.215,0.163,0.113,0.086,0.175,0.000
2,4294967295,22,46,aclnnAdds_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1783561392152343.486	,3.200,6545.370000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.649,4769,0.315,0.119,0.568,0.214,0.393,0.148,0.109,0.041,0.208,0.000
2,4294967295,23,46,aclnnSubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783561392152501.089	,2.940,154.300000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,4374,0.316,0.13,0.482,0.198,0.461,0.19,0.102,0.042,0.218,0.000
2,4294967295,24,46,aclnnFloorDivides_FloorDivAiCore_FloorDiv,FloorDiv,dynamic,AI_VECTOR_CORE,1783561392156475.228	,2.000,3971.310000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.484,2672,0.049,0.033,0.462,0.311,0.206,0.138,0.142,0.095,0.186,0.000
2,4294967295,25,46,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783561392159803.455	,1.820,3326.250000,1,0,NO,"""4;4""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,2376,0.2,0.152,0.382,0.29,0.183,0.138,0.12,0.091,0.181,0.000
2,4294967295,26,46,aclnnAdds_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1783561392159918.897	,2.580,113.680000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083,3749,0.309,0.148,0.496,0.238,0.502,0.241,0.119,0.057,0.211,0.000
2,4294967295,27,46,aclnnSubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783561392159948.918	,2.360,27.420000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.826,3287,0.308,0.169,0.584,0.32,0.385,0.211,0.129,0.071,0.226,0.000
2,4294967295,28,46,aclnnFloorDivides_FloorDivAiCore_FloorDiv,FloorDiv,dynamic,AI_VECTOR_CORE,1783561392160041.999	,1.640,90.640000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.119,2015,0.049,0.044,0.432,0.386,0.206,0.184,0.135,0.121,0.193,0.000
2,4294967295,29,46,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783561392160443.027	,2.020,399.360000,1,0,NO,"""4;4""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.453,2616,0.2,0.138,0.393,0.271,0.229,0.157,0.123,0.084,0.183,0.000
2,4294967295,30,46,aclnnAdds_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1783561392160536.849	,2.560,91.730000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,3618,0.308,0.153,0.474,0.236,0.365,0.182,0.118,0.059,0.221,0.000
2,4294967295,31,46,aclnnSubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783561392160558.630	,2.380,19.440000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.907,3433,0.309,0.162,0.558,0.292,0.541,0.283,0.092,0.048,0.213,0.000
2,4294967295,32,46,aclnnFloorDivides_FloorDivAiCore_FloorDiv,FloorDiv,dynamic,AI_VECTOR_CORE,1783561392160635.671	,1.560,74.620000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.068,1923,0.049,0.046,0.406,0.38,0.162,0.151,0.148,0.139,0.2,0.000
2,4294967295,33,46,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783561392160997.838	,1.821,360.440000,1,0,NO,"""4;4""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.298,2336,0.2,0.154,0.362,0.279,0.196,0.151,0.093,0.071,0.183,0.000
2,4294967295,34,46,aclnnAdds_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1783561392161093.120	,2.660,93.429000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.139,3850,0.309,0.144,0.677,0.316,0.337,0.157,0.094,0.044,0.223,0.000
2,4294967295,35,46,aclnnSubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783561392161113.741	,2.360,18.090000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.817,3270,0.308,0.17,0.588,0.324,0.347,0.191,0.097,0.054,0.201,0.000
2,4294967295,36,46,aclnnFloorDivides_FloorDivAiCore_FloorDiv,FloorDiv,dynamic,AI_VECTOR_CORE,1783561392161181.322	,1.660,65.140000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,2000,0.049,0.044,0.435,0.392,0.186,0.168,0.094,0.085,0.169,0.000
2,4294967295,37,46,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783561392161535.829	,1.900,352.840000,1,0,NO,"""4;4""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351,2431,0.2,0.148,0.358,0.265,0.216,0.16,0.097,0.072,0.181,0.000
2,4294967295,38,46,aclnnAdds_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1783561392161629.051	,2.500,91.350000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.957,3523,0.308,0.157,0.503,0.257,0.373,0.191,0.094,0.048,0.207,0.000
2,4294967295,39,46,aclnnSubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783561392161649.852	,2.380,18.250000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.829,3293,0.308,0.169,0.572,0.312,0.375,0.205,0.093,0.051,0.201,0.000
2,4294967295,40,46,aclnnFloorDivides_FloorDivAiCore_FloorDiv,FloorDiv,dynamic,AI_VECTOR_CORE,1783561392161714.513	,1.640,62.370000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.066,1919,0.049,0.046,0.438,0.411,0.19,0.178,0.093,0.088,0.176,0.000
2,4294967295,41,46,l2norm_fwd_kernel,l2norm_fwd_kernel,static,AI_VECTOR_CORE,1783561410506026.992	,173.064,18344310.860000,40,0,YES,"""130784,128""",DT_BF16,ND,"""130784,128;130784""",DT_BF16;FLOAT,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.91,5393507,65.422,0.873,20.46,0.273,18.614,0.248,25.171,0.336,0.002,0.000
