Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
2,N/A,PROFILING_ENABLE,49,3,0.000,1783561391904905.322	,1783561391904905.322	
2,preload_stack_16KB,MIX_AIC,49,4,9.720,1783561391909745.638	,1783561391909755.359	
2,N/A,TASK_TIMEOUT_SET,49,5,105.982,1783561391917779.019	,1783561391917885.001	
2,Sub_41dadce325b0f810d03359af2a38990b_high_performance_210000000,AI_VECTOR_CORE,46,0,3.100,1783561392057128.343	,1783561392057131.443	
2,Cast_5d7a6db974148d68ac34e2b880c60222_high_performance_210000000,AI_VECTOR_CORE,46,1,2.140,1783561392065240.325	,1783561392065242.465	
2,ReduceMean_483c206567cda955ff1cdfd62744bc74_high_precision_50000400,MIX_AIV,46,2,3.380,1783561392095855.297	,1783561392095858.677	
2,ReduceMin_50ece6b17b86ccdf70cfb9e03e3196c5_high_performance_50000400,MIX_AIV,46,3,2.740,1783561392115806.096	,1783561392115808.836	
2,ReduceMax_50ece6b17b86ccdf70cfb9e03e3196c5_high_performance_50000400,MIX_AIV,46,4,2.780,1783561392133948.758	,1783561392133951.538	
2,N/A,MEMCPY_ASYNC,46,5,2.120,1783561392137395.747	,1783561392137397.867	
2,N/A,DSA_SQE,46,6,1582.551,1783561392137409.367	,1783561392138991.919	
2,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210010000,AI_VECTOR_CORE,46,7,51.801,1783561392138991.939	,1783561392139043.740	
2,N/A,MEMCPY_ASYNC,46,8,2.100,1783561392139043.760	,1783561392139045.860	
2,N/A,DSA_SQE,46,9,1581.191,1783561392139046.020	,1783561392140627.211	
2,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210010000,AI_VECTOR_CORE,46,10,46.700,1783561392140627.231	,1783561392140673.932	
2,N/A,MEMCPY_ASYNC,46,11,2.120,1783561392140673.952	,1783561392140676.072	
2,N/A,DSA_SQE,46,12,1578.371,1783561392140676.232	,1783561392142254.604	
2,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210010000,AI_VECTOR_CORE,46,13,46.120,1783561392142254.644	,1783561392142300.765	
2,N/A,MEMCPY_ASYNC,46,14,2.100,1783561392142300.805	,1783561392142302.905	
