Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Add_Tiling,233.09,7,33.299,9.59,63.73,391.27
host,acl,BroadcastTo_Tiling,55.74,1,55.74,55.74,55.74,0
host,acl,Cast_Tiling,435.15,13,33.473,11.48,81.69,417.092
host,acl,ChunkBwdDqkwg_Tiling,22.67,2,11.335,1.12,21.55,104.346
host,acl,ChunkBwdDvLocal_Tiling,17.54,2,8.77,1.34,16.2,55.205
host,acl,ChunkFwdO_Tiling,15.92,2,7.96,1.09,14.83,47.197
host,acl,ChunkGatedDeltaRuleBwdDhu_Tiling,27.45,2,13.725,1.1,26.35,159.391
host,acl,ChunkGatedDeltaRuleFwdH_Tiling,48.85,4,12.213,0.37,27.64,137.121
host,acl,Fill_Tiling,60.26,1,60.26,60.26,60.26,0
host,acl,FloorDiv_Tiling,86.95,5,17.39,8.69,43.85,179.764
host,acl,IsFinite_Tiling,34.49,6,5.748,0.44,15.93,33.53
host,acl,LogSigmoid_Tiling,12.75,1,12.75,12.75,12.75,0
host,acl,LpNormV2_Tiling,173.29,4,43.323,0.33,152.64,4030.827
host,acl,Mul_Tiling,67.62,2,33.81,21.7,45.92,146.652
host,acl,Pow_Tiling,44.78,1,44.78,44.78,44.78,0
host,acl,Pows_Tiling,18.11,2,9.055,1.06,17.05,63.92
host,acl,PrepareWyReprBwdDa_Tiling,26.15,2,13.075,0.99,25.16,146.047
host,acl,PrepareWyReprBwdFull_Tiling,29.01,2,14.505,1.09,27.92,179.962
host,acl,RealDiv_Tiling,46.23,1,46.23,46.23,46.23,0
host,acl,RecomputeWUFwd_Tiling,113.98,4,28.495,0.51,72.56,907.488
host,acl,ReduceAll_Tiling,225.35,6,37.558,0.35,129.19,2157.417
host,acl,ReduceMax_Tiling,472.46,2,236.23,2.17,470.29,54784.084
host,acl,ReduceMean_Tiling,465.44,4,116.36,0.65,424.73,31897.066
host,acl,ReduceMin_Tiling,66.98,2,33.49,2.09,64.89,985.96
host,acl,Sigmoid_Tiling,29.84,1,29.84,29.84,29.84,0
host,acl,Sub_Tiling,104.52,2,52.26,19.24,85.28,1090.32
host,acl,Transpose_Tiling,445.38,22,20.245,0.29,107.36,919.894
host,acl,ZerosLike_Tiling,203.41,5,40.682,15.49,53.52,190.778
host,acl,aclmdlRICaptureGetInfo,16.65,31,0.537,0.24,2.5,0.303
host,acl,aclnnAddGetWorkspaceSize,2723.07,2,1361.535,1339.72,1383.35,475.894
host,acl,aclnnAdds,2875.96,5,575.192,37.18,2670.19,1097385.774
host,acl,aclnnAddsGetWorkspaceSize,2604.79,5,520.958,32.11,2461.15,941107.601
host,acl,aclnnAll,6123.4,6,1020.567,10.14,5975.1,4909860.261
host,acl,aclnnAllGetWorkspaceSize,8694.38,3,2898.127,81.6,8491.33,15642226.434
host,acl,aclnnChunkBwdDqkwg,420.91,1,420.91,420.91,420.91,0
host,acl,aclnnChunkBwdDqkwgGetWorkspaceSize,1476.33,1,1476.33,1476.33,1476.33,0
host,acl,aclnnChunkBwdDvLocal,1101.96,1,1101.96,1101.96,1101.96,0
host,acl,aclnnChunkBwdDvLocalGetWorkspaceSize,1248.73,1,1248.73,1248.73,1248.73,0
