Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
2,DSARandomNormal,DSA_SQE,4,4757.075,13.48,1189.269,1583.112,35.414
2,ChunkBwdDqkwg,MIX_AIC,1,1086.482,1086.482,1086.482,1086.482,8.088
2,PrepareWyReprBwdFull,MIX_AIC,1,798.576,798.576,798.576,798.576,5.945
2,ChunkGatedDeltaRuleFwdH,MIX_AIC,2,734.915,361.267,367.457,373.647,5.471
2,ChunkGatedDeltaRuleBwdDhu,MIX_AIC,1,576.512,576.512,576.512,576.512,4.292
2,Pow,AI_VECTOR_CORE,1,480.47,480.47,480.47,480.47,3.577
2,RecomputeWUFwd,MIX_AIC,2,472.109,224.584,236.055,247.525,3.515
2,Cast,AI_VECTOR_CORE,22,447.009,2.14,20.319,53.941,3.328
2,PrepareWyReprBwdDa,MIX_AIC,1,429.649,429.649,429.649,429.649,3.199
2,l2norm_bwd_kernel,AI_VECTOR_CORE,2,399.868,161.943,199.934,237.925,2.977
2,chunk_scaled_dot_kkt_fwd_kernel,MIX_AIC,1,367.487,367.487,367.487,367.487,2.736
2,ChunkBwdDvLocal,MIX_AIC,1,358.247,358.247,358.247,358.247,2.667
2,Transpose,AI_VECTOR_CORE,13,284.106,10.14,21.854,59.281,2.115
2,l2norm_fwd_kernel,AI_VECTOR_CORE,2,278.386,102.502,139.193,175.884,2.072
2,ChunkFwdO,MIX_AIC,1,262.965,262.965,262.965,262.965,1.958
2,IsFinite,AI_VECTOR_CORE,6,235.245,5.12,39.207,58.801,1.751
2,merge_16x16_to_32x32_inverse_kernel,MIX_AIC,1,233.645,233.645,233.645,233.645,1.739
2,solve_tril_16x16_kernel_paral_v3,AI_VECTOR_CORE,1,212.004,212.004,212.004,212.004,1.578
2,Mul,AI_VECTOR_CORE,2,161.823,51.401,80.912,110.422,1.205
2,LpNormV2,MIX_AIV,5,138.783,11.54,27.757,43.841,1.033
2,merge_32x32_to_64x64_inverse_kernel,MIX_AIC,1,132.623,132.623,132.623,132.623,0.987
2,ReduceAll,MIX_AIV,6,118.222,8.46,19.704,28.261,0.88
2,ZerosLike,AI_VECTOR_CORE,5,113.182,1.94,22.636,47.101,0.843
2,Add,AI_VECTOR_CORE,7,83.922,2.52,11.989,63.661,0.625
2,BroadcastTo,AI_VECTOR_CORE,1,45.341,45.341,45.341,45.341,0.338
2,Pows,AI_VECTOR_CORE,1,39.721,39.721,39.721,39.721,0.296
2,RealDiv,AI_VECTOR_CORE,1,37.221,37.221,37.221,37.221,0.277
2,ReduceMean,MIX_AIV,2,36.921,3.72,18.46,33.201,0.275
2,chunk_local_cumsum_scalar_kernel,AI_VECTOR_CORE,2,28.801,13.38,14.4,15.42,0.214
2,Sub,AI_VECTOR_CORE,11,25.621,1.76,2.329,3.18,0.191
2,LogSigmoid,AI_VECTOR_CORE,1,10.9,10.9,10.9,10.9,0.081
2,preload_stack_16KB,MIX_AIC,1,10.44,10.44,10.44,10.44,0.078
2,DSARandomUniform,DSA_SQE,1,9.4,9.4,9.4,9.4,0.07
2,FloorDiv,AI_VECTOR_CORE,5,9.16,1.7,1.832,2.1,0.068
2,Sigmoid,AI_VECTOR_CORE,1,8.5,8.5,8.5,8.5,0.063
2,ReduceMax,MIX_AIV,1,3.02,3.02,3.02,3.02,0.022
2,ReduceMin,MIX_AIV,1,2.96,2.96,2.96,2.96,0.022
2,Fill,AI_VECTOR_CORE,1,1.44,1.44,1.44,1.44,0.011
