Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
2,4294967295,4,49,preload_stack_16KB,preload_stack_16KB,N/A,MIX_AIC,1783586338601781.224	,10.440,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,198924,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.313,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.928
2,4294967295,0,46,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783586338747767.961	,3.180,145976.310000,1,0,NO,"""4;4""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.726,4906,0.2,0.073,1.006,0.369,0.707,0.259,0.091,0.033,0.239,0.000
2,4294967295,1,46,aclnnInplaceCopy_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1783586338756042.626	,2.140,8271.570000,1,0,NO,"""4""",INT64,ND,"""4""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.636,2945,0.026,0.016,0.766,0.468,0.444,0.271,0.09,0.055,0.18,0.000
2,4294967295,2,46,aclnnMean_ReduceMeanAiCore_ReduceMean,ReduceMean,dynamic,MIX_AIV,1783586338786124.247	,3.720,30079.360000,1,0,NO,"""4;1""",FLOAT;INT64,ND;ND,"""""",FLOAT,ND,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.348,6027,0.054,0.016,1.626,0.486,0.096,0.029,0.091,0.027,0.211,0.000
2,4294967295,3,46,aclnnMin_ReduceMinAiCore_ReduceMin,ReduceMin,dynamic,MIX_AIV,1783586338804981.884	,2.960,18854.030000,1,0,NO,"""4;1""",INT64;INT64,ND;ND,"""""",INT64,ND,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.577,4638,0.061,0.024,1.178,0.457,0.451,0.175,0.113,0.044,0.164,0.000
2,4294967295,4,46,aclnnMax_ReduceMaxAiCore_ReduceMax,ReduceMax,dynamic,MIX_AIV,1783586338822238.848	,3.021,17253.790000,1,0,NO,"""4;1""",INT64;INT64,ND;ND,"""""",INT64,ND,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.629,4733,0.061,0.023,0.973,0.37,0.104,0.04,0.113,0.043,0.196,0.000
2,4294967295,6,46,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1783586338824172.867	,1583.112,1930.979000,0,0,NO,N/A,N/A,N/A,"""1,32,4087,128""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4294967295,7,46,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1783586338825755.999	,51.061,0.138000,40,0,NO,"""1,32,4087,128""",FLOAT,ND,"""1,32,4087,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.993,3455470,5.013,0.104,1.784,0.037,44.118,0.919,15.396,0.321,0.016,0.000
2,4294967295,9,46,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1783586338825809.440	,1582.111,2.439000,0,0,NO,N/A,N/A,N/A,"""1,32,4087,128""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4294967295,10,46,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1783586338827391.591	,50.661,0.000000,40,0,NO,"""1,32,4087,128""",FLOAT,ND,"""1,32,4087,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.431,3055046,5.006,0.118,1.505,0.035,41.306,0.973,12.99,0.306,0.0,0.000
2,4294967295,12,46,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1783586338827444.612	,1578.372,2.339000,0,0,NO,N/A,N/A,N/A,"""1,32,4087,128""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4294967295,13,46,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1783586338829023.004	,50.581,0.128000,40,0,NO,"""1,32,4087,128""",FLOAT,ND,"""1,32,4087,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.194,3037961,5.006,0.119,1.63,0.039,40.948,0.97,13.817,0.327,0.0,0.000
2,4294967295,15,46,aclnnInplaceUniform_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1783586338829076.205	,9.400,2.669000,0,0,NO,N/A,N/A,N/A,"""1,4087,32""",DT_BF16,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4294967295,16,46,aclnnSigmoid_SigmoidAiCore_Sigmoid,Sigmoid,dynamic,AI_VECTOR_CORE,1783586338829085.625	,8.500,0.000000,40,0,NO,"""1,4087,32""",DT_BF16,NCL,"""1,4087,32""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.479,394457,0.313,0.057,0.184,0.034,1.165,0.213,0.185,0.034,0.196,0.000
2,4294967295,18,46,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1783586338829096.485	,13.481,2.500000,0,0,NO,N/A,N/A,N/A,"""1,4087,32""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4294967295,19,46,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1783586338829109.986	,8.240,0.019000,40,0,NO,"""1,4087,32""",FLOAT,ND,"""1,4087,32""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.484,394822,0.051,0.009,0.181,0.033,1.659,0.302,0.18,0.033,0.124,0.000
2,4294967295,20,46,aclnnLogSigmoidForward_LogSigmoidAiCore_LogSigmoid,LogSigmoid,dynamic,AI_VECTOR_CORE,1783586338830015.764	,10.900,897.510000,40,0,NO,"""1,4087,32""",DT_BF16,NCL,"""1,4087,32""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.691,553744,2.079,0.27,0.706,0.092,0.79,0.103,0.289,0.038,0.097,0.000
2,4294967295,21,46,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783586338830724.018	,1.760,697.350000,1,0,NO,"""4;4""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.261,2269,0.2,0.159,0.371,0.294,0.179,0.142,0.132,0.104,0.189,0.000
2,4294967295,22,46,aclnnAdds_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1783586338836482.393	,3.180,5756.740000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.673,4812,0.312,0.117,0.5,0.187,0.386,0.144,0.139,0.052,0.217,0.000
2,4294967295,23,46,aclnnSubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783586338836642.236	,3.180,156.570000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.664,4796,0.304,0.114,0.458,0.172,0.365,0.137,0.102,0.038,0.207,0.000
2,4294967295,24,46,aclnnFloorDivides_FloorDivAiCore_FloorDiv,FloorDiv,dynamic,AI_VECTOR_CORE,1783586338839804.599	,2.100,3159.070000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.572,2829,0.049,0.031,0.469,0.299,0.209,0.133,0.134,0.086,0.197,0.000
2,4294967295,25,46,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783586338840881.781	,1.860,1075.150000,1,0,NO,"""4;4""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.304,2348,0.2,0.153,0.383,0.294,0.215,0.165,0.101,0.077,0.189,0.000
2,4294967295,26,46,aclnnAdds_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1783586338841013.844	,2.680,130.140000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.148,3867,0.304,0.142,0.482,0.224,0.523,0.244,0.134,0.062,0.2,0.000
2,4294967295,27,46,aclnnSubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783586338841046.464	,2.640,30.070000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.067,3720,0.304,0.147,0.596,0.288,0.408,0.197,0.132,0.064,0.195,0.000
2,4294967295,28,46,aclnnFloorDivides_FloorDivAiCore_FloorDiv,FloorDiv,dynamic,AI_VECTOR_CORE,1783586338841135.946	,1.760,86.860000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,2178,0.049,0.041,0.449,0.371,0.204,0.169,0.139,0.115,0.197,0.000
2,4294967295,29,46,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783586338841578.735	,1.780,440.990000,1,0,NO,"""4;4""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.309,2357,0.2,0.153,0.389,0.297,0.193,0.147,0.138,0.106,0.189,0.000
2,4294967295,30,46,aclnnAdds_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1783586338841681.577	,2.520,100.970000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.022,3639,0.305,0.151,0.495,0.245,0.378,0.187,0.146,0.072,0.2,0.000
2,4294967295,31,46,aclnnSubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783586338841705.337	,2.380,21.230000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,3384,0.305,0.162,0.555,0.295,0.369,0.197,0.091,0.048,0.2,0.000
2,4294967295,32,46,aclnnFloorDivides_FloorDivAiCore_FloorDiv,FloorDiv,dynamic,AI_VECTOR_CORE,1783586338841783.519	,1.700,75.870000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.191,2144,0.049,0.042,0.424,0.356,0.159,0.134,0.14,0.118,0.197,0.000
2,4294967295,33,46,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783586338842178.147	,1.820,393.050000,1,0,NO,"""4;4""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.273,2292,0.2,0.157,0.37,0.291,0.208,0.164,0.097,0.076,0.181,0.000
2,4294967295,34,46,aclnnAdds_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1783586338842277.229	,2.520,97.180000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.977,3559,0.305,0.154,0.502,0.254,0.381,0.192,0.094,0.048,0.197,0.000
2,4294967295,35,46,aclnnSubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783586338842299.229	,2.540,19.480000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.987,3577,0.304,0.153,0.602,0.303,0.361,0.181,0.091,0.046,0.195,0.000
2,4294967295,36,46,aclnnFloorDivides_FloorDivAiCore_FloorDiv,FloorDiv,dynamic,AI_VECTOR_CORE,1783586338842375.391	,1.720,73.710000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.177,2118,0.049,0.042,0.441,0.375,0.194,0.165,0.096,0.082,0.197,0.000
2,4294967295,37,46,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1783586338842755.238	,1.880,378.030000,1,0,NO,"""4;4""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.309,2356,0.2,0.153,0.358,0.274,0.229,0.175,0.101,0.077,0.181,0.000
2,4294967295,38,46,aclnnAdds_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1783586338842870.721	,2.580,113.620000,1,0,NO,"""4;""",INT64;INT64,ND;ND,"""4""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.011,3620,0.304,0.151,0.512,0.255,0.402,0.2,0.091,0.045,0.197,0.000
