Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Add_Tiling,172.67,5,34.534,19.76,57.46,188.273
host,acl,BroadcastTo_Tiling,58.17,1,58.17,58.17,58.17,0
host,acl,Cast_Tiling,378.29,9,42.032,11.48,100.31,739.031
host,acl,ChunkBwdDvLocal_Tiling,169.51,1,169.51,169.51,169.51,0
host,acl,ChunkFwdO_Tiling,14.47,2,7.235,0.95,13.52,39.501
host,acl,ChunkGatedDeltaRuleBwdDhu_Tiling,26.36,1,26.36,26.36,26.36,0
host,acl,ChunkGatedDeltaRuleFwdH_Tiling,45.83,4,11.458,0.46,23.81,116.436
host,acl,Fill_Tiling,62.55,1,62.55,62.55,62.55,0
host,acl,FloorDiv_Tiling,227.42,5,45.484,18.5,120.43,1485.54
host,acl,IsFinite_Tiling,9.23,2,4.615,0.72,8.51,15.171
host,acl,LogSigmoid_Tiling,13.88,1,13.88,13.88,13.88,0
host,acl,Mul_Tiling,66.54,2,33.27,20.29,46.25,168.48
host,acl,Pow_Tiling,46.14,1,46.14,46.14,46.14,0
host,acl,Pows_Tiling,22.82,2,11.41,1.22,21.6,103.836
host,acl,RealDiv_Tiling,47.79,1,47.79,47.79,47.79,0
host,acl,RecomputeWUFwd_Tiling,102.72,4,25.68,0.51,61.95,688.714
host,acl,ReduceAll_Tiling,135.47,2,67.735,2.32,133.15,4279.122
host,acl,ReduceMax_Tiling,438.98,2,219.49,29.3,409.68,36172.236
host,acl,ReduceMean_Tiling,463.61,4,115.903,0.67,376.94,23832.289
host,acl,ReduceMin_Tiling,92.76,2,46.38,2.08,90.68,1962.49
host,acl,Sigmoid_Tiling,29.18,1,29.18,29.18,29.18,0
host,acl,Sub_Tiling,114.16,2,57.08,24.01,90.15,1093.625
host,acl,Transpose_Tiling,356.77,16,22.298,0.66,82.67,742.888
host,acl,ZerosLike_Tiling,187.71,5,37.542,15.17,54.05,227.87
host,acl,aclmdlRICaptureGetInfo,17.15,31,0.553,0.25,2.52,0.312
host,acl,aclnnAdds,3785.77,5,757.154,99.13,3287.38,1600766.743
host,acl,aclnnAddsGetWorkspaceSize,2905.48,5,581.096,36.41,2676.12,1097537.817
host,acl,aclnnAll,5376.41,1,5376.41,5376.41,5376.41,0
host,acl,aclnnAllGetWorkspaceSize,8389.89,1,8389.89,8389.89,8389.89,0
host,acl,aclnnChunkBwdDvLocal,30.3,1,30.3,30.3,30.3,0
host,acl,aclnnChunkBwdDvLocalGetWorkspaceSize,1391.21,1,1391.21,1391.21,1391.21,0
host,acl,aclnnChunkFwdO,567.95,1,567.95,567.95,567.95,0
host,acl,aclnnChunkFwdOGetWorkspaceSize,949.42,1,949.42,949.42,949.42,0
host,acl,aclnnChunkGatedDeltaRuleBwdDhuGetWorkspaceSize,1029.24,1,1029.24,1029.24,1029.24,0
host,acl,aclnnChunkGatedDeltaRuleFwdH,672.52,2,336.26,41,631.52,87178.468
host,acl,aclnnChunkGatedDeltaRuleFwdHGetWorkspaceSize,1765.76,2,882.88,53.53,1712.23,687821.423
host,acl,aclnnDivs,4139.25,1,4139.25,4139.25,4139.25,0
host,acl,aclnnDivsGetWorkspaceSize,6810.79,1,6810.79,6810.79,6810.79,0
host,acl,aclnnFloorDivides,3786.53,5,757.306,100.23,3298.81,1615075.148
host,acl,aclnnFloorDividesGetWorkspaceSize,2873.58,5,574.716,27.92,2698.68,1127891.589
host,acl,aclnnInplaceCopy,5630.73,16,351.921,15.71,1995.65,379981.459
host,acl,aclnnInplaceCopyGetWorkspaceSize,11583.43,13,891.033,21.84,8237.01,4757412.934
host,acl,aclnnInplaceFillScalar,2213.25,1,2213.25,2213.25,2213.25,0
host,acl,aclnnInplaceFillScalarGetWorkspaceSize,2269.68,1,2269.68,2269.68,2269.68,0
host,acl,aclnnInplaceNormal,4050.2,4,1012.55,211.44,2841.74,1162971.798
host,acl,aclnnInplaceNormalGetWorkspaceSize,645.66,4,161.415,48.78,494.7,37027.19
host,acl,aclnnInplaceUniform,117.85,1,117.85,117.85,117.85,0
host,acl,aclnnInplaceUniformGetWorkspaceSize,58.98,1,58.98,58.98,58.98,0
host,acl,aclnnInplaceZero,1637.09,5,327.418,46.41,766.4,93183.693
host,acl,aclnnInplaceZeroGetWorkspaceSize,3078.2,5,615.64,25.65,2671.05,1067171.307
host,acl,aclnnIsFinite,331.84,1,331.84,331.84,331.84,0
host,acl,aclnnIsFiniteGetWorkspaceSize,880.52,1,880.52,880.52,880.52,0
host,acl,aclnnLogSigmoidForward,524.98,1,524.98,524.98,524.98,0
host,acl,aclnnLogSigmoidForwardGetWorkspaceSize,1015.22,1,1015.22,1015.22,1015.22,0
