Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
2,DSARandomNormal,DSA_SQE,4,3178.904,13.6,794.726,1581.592,44.348
2,ChunkGatedDeltaRuleFwdH,MIX_AIC,2,600.712,298.526,300.356,302.186,8.38
2,Pow,AI_VECTOR_CORE,1,483.97,483.97,483.97,483.97,6.752
2,RecomputeWUFwd,MIX_AIC,2,449.529,205.704,224.764,243.825,6.271
2,chunk_scaled_dot_kkt_fwd_kernel,MIX_AIC,1,380.488,380.488,380.488,380.488,5.308
2,Transpose,AI_VECTOR_CORE,10,240.525,10.9,24.052,53.281,3.355
2,merge_16x16_to_32x32_inverse_kernel,MIX_AIC,1,237.945,237.945,237.945,237.945,3.319
2,ChunkFwdO,MIX_AIC,1,234.185,234.185,234.185,234.185,3.267
2,Cast,AI_VECTOR_CORE,10,232.605,3.3,23.26,50.281,3.245
2,solve_tril_16x16_kernel_paral_v3,AI_VECTOR_CORE,1,213.044,213.044,213.044,213.044,2.972
2,l2norm_fwd_kernel,AI_VECTOR_CORE,2,210.004,78.162,105.002,131.843,2.93
2,Mul,AI_VECTOR_CORE,2,153.323,52.661,76.662,100.662,2.139
2,merge_32x32_to_64x64_inverse_kernel,MIX_AIC,1,131.123,131.123,131.123,131.123,1.829
2,ZerosLike,AI_VECTOR_CORE,5,69.481,1.8,13.896,24.48,0.969
2,IsFinite,AI_VECTOR_CORE,1,56.221,56.221,56.221,56.221,0.784
2,Pows,AI_VECTOR_CORE,1,51.161,51.161,51.161,51.161,0.714
2,BroadcastTo,AI_VECTOR_CORE,1,45.261,45.261,45.261,45.261,0.631
2,RealDiv,AI_VECTOR_CORE,1,38.221,38.221,38.221,38.221,0.533
2,ReduceMean,MIX_AIV,2,37.421,3.7,18.71,33.721,0.522
2,Sub,AI_VECTOR_CORE,11,26.821,1.72,2.438,4.34,0.374
2,ReduceAll,MIX_AIV,1,26.221,26.221,26.221,26.221,0.366
2,Add,AI_VECTOR_CORE,5,14.14,2.56,2.828,3.5,0.197
2,LogSigmoid,AI_VECTOR_CORE,1,10.84,10.84,10.84,10.84,0.151
2,chunk_local_cumsum_scalar_kernel,AI_VECTOR_CORE,1,10.24,10.24,10.24,10.24,0.143
2,DSARandomUniform,DSA_SQE,1,9.44,9.44,9.44,9.44,0.132
2,Sigmoid,AI_VECTOR_CORE,1,8.66,8.66,8.66,8.66,0.121
2,FloorDiv,AI_VECTOR_CORE,5,8.62,1.64,1.724,1.94,0.12
2,ReduceMin,MIX_AIV,1,4.58,4.58,4.58,4.58,0.064
2,ReduceMax,MIX_AIV,1,3.06,3.06,3.06,3.06,0.043
2,Fill,AI_VECTOR_CORE,1,1.36,1.36,1.36,1.36,0.019
