Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
2,N/A,PROFILING_ENABLE,49,3,0.000,1783586414279793.158	,1783586414279793.158	
2,N/A,TASK_TIMEOUT_SET,49,4,177.123,1783586414296773.318	,1783586414296950.441	
2,Sub_41dadce325b0f810d03359af2a38990b_high_performance_210000000,AI_VECTOR_CORE,46,0,4.340,1783586414462977.758	,1783586414462982.099	
2,Cast_5d7a6db974148d68ac34e2b880c60222_high_performance_210000000,AI_VECTOR_CORE,46,1,3.300,1783586414473711.693	,1783586414473714.993	
2,ReduceMean_483c206567cda955ff1cdfd62744bc74_high_precision_50000400,MIX_AIV,46,2,3.700,1783586414509675.211	,1783586414509678.912	
2,ReduceMin_50ece6b17b86ccdf70cfb9e03e3196c5_high_performance_50000400,MIX_AIV,46,3,4.580,1783586414534846.454	,1783586414534851.034	
2,ReduceMax_50ece6b17b86ccdf70cfb9e03e3196c5_high_performance_50000400,MIX_AIV,46,4,3.060,1783586414555224.142	,1783586414555227.202	
2,N/A,MEMCPY_ASYNC,46,5,2.960,1783586414558489.387	,1783586414558492.347	
2,N/A,DSA_SQE,46,6,792.515,1783586414558763.512	,1783586414559556.028	
2,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210010000,AI_VECTOR_CORE,46,7,30.820,1783586414561128.119	,1783586414561158.940	
2,N/A,MEMCPY_ASYNC,46,8,2.180,1783586414561403.225	,1783586414561405.405	
2,N/A,DSA_SQE,46,9,791.195,1783586414561429.766	,1783586414562220.961	
2,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210010000,AI_VECTOR_CORE,46,10,27.140,1783586414562220.981	,1783586414562248.122	
2,N/A,MEMCPY_ASYNC,46,11,2.300,1783586414562248.142	,1783586414562250.442	
2,N/A,DSA_SQE,46,12,1581.591,1783586414562250.582	,1783586414563832.174	
2,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210010000,AI_VECTOR_CORE,46,13,46.540,1783586414563832.194	,1783586414563878.734	
2,N/A,MEMCPY_ASYNC,46,14,2.300,1783586414563878.754	,1783586414563881.054	
2,N/A,DSA_SQE,46,15,9.440,1783586414563881.214	,1783586414563890.655	
2,Sigmoid_1c4543fdfe7149b6b0717bd88f061562_high_precision_210000000,AI_VECTOR_CORE,46,16,8.660,1783586414566934.335	,1783586414566942.996	
2,N/A,MEMCPY_ASYNC,46,17,2.580,1783586414567506.747	,1783586414567509.327	
2,N/A,DSA_SQE,46,18,13.600,1783586414567528.987	,1783586414567542.588	
2,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210000000,AI_VECTOR_CORE,46,19,8.600,1783586414567631.609	,1783586414567640.210	
2,LogSigmoid_3_high_performance_210000000,AI_VECTOR_CORE,46,20,10.840,1783586414570663.550	,1783586414570674.390	
2,Sub_41dadce325b0f810d03359af2a38990b_high_performance_210000000,AI_VECTOR_CORE,46,21,1.900,1783586414572275.322	,1783586414572277.222	
2,Add_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,46,22,3.500,1783586414579317.963	,1783586414579321.463	
2,Sub_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,46,23,3.160,1783586414580013.657	,1783586414580016.817	
2,FloorDiv_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,46,24,1.940,1783586414587097.358	,1783586414587099.298	
2,Sub_41dadce325b0f810d03359af2a38990b_high_performance_210000000,AI_VECTOR_CORE,46,25,1.720,1783586414589141.759	,1783586414589143.479	
2,Add_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,46,26,2.620,1783586414589530.487	,1783586414589533.107	
2,Sub_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,46,27,2.600,1783586414589550.227	,1783586414589552.827	
2,FloorDiv_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,46,28,1.640,1783586414590335.303	,1783586414590336.943	
2,Sub_41dadce325b0f810d03359af2a38990b_high_performance_210000000,AI_VECTOR_CORE,46,29,1.880,1783586414591120.919	,1783586414591122.799	
2,Add_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,46,30,2.720,1783586414591420.785	,1783586414591423.505	
2,Sub_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,46,31,2.460,1783586414591638.529	,1783586414591640.989	
2,FloorDiv_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,46,32,1.700,1783586414592017.637	,1783586414592019.337	
2,Sub_41dadce325b0f810d03359af2a38990b_high_performance_210000000,AI_VECTOR_CORE,46,33,1.760,1783586414592851.953	,1783586414592853.713	
2,Add_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,46,34,2.560,1783586414592910.734	,1783586414592913.295	
2,Sub_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,46,35,2.520,1783586414593254.341	,1783586414593256.861	
2,FloorDiv_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,46,36,1.700,1783586414593277.702	,1783586414593279.402	
2,Sub_41dadce325b0f810d03359af2a38990b_high_performance_210000000,AI_VECTOR_CORE,46,37,1.920,1783586414594122.499	,1783586414594124.419	
2,Add_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,46,38,2.740,1783586414594345.503	,1783586414594348.243	
2,Sub_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,46,39,2.560,1783586414594642.229	,1783586414594644.789	
2,FloorDiv_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,46,40,1.640,1783586414594711.550	,1783586414594713.191	
2,l2norm_fwd_kernel_0,AI_VECTOR_CORE,46,41,131.842,1783586420147198.709	,1783586420147330.552	
2,l2norm_fwd_kernel_0,AI_VECTOR_CORE,46,42,78.161,1783586420147877.083	,1783586420147955.244	
2,chunk_local_cumsum_scalar_kernel_0,AI_VECTOR_CORE,46,43,10.240,1783586420162414.493	,1783586420162424.733	
2,Transpose_be837fe498fad076d01c0ce8dfd3d014_high_performance_13,AI_VECTOR_CORE,46,44,15.380,1783586420166738.400	,1783586420166753.780	
2,Transpose_9a632dc5b6be9e1b4215e3cf2b1aff0d_high_performance_13,AI_VECTOR_CORE,46,45,11.380,1783586420169260.750	,1783586420169272.130	
2,chunk_scaled_dot_kkt_fwd_kernel_0,MIX_AIC,46,46,380.487,1783586425117536.297	,1783586425117916.784	
2,ZerosLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,46,47,1.800,1783586425121690.920	,1783586425121692.720	
2,solve_tril_16x16_kernel_paral_v3_0,AI_VECTOR_CORE,46,48,213.044,1783586425188880.622	,1783586425189093.666	
2,ZerosLike_5c5e58e043224cccf51a06108010ae13_high_performance_210010000,AI_VECTOR_CORE,46,49,12.320,1783586425189927.163	,1783586425189939.483	
2,merge_16x16_to_32x32_inverse_kernel_0,MIX_AIC,46,50,237.944,1783586425198548.635	,1783586425198786.580	
2,ZerosLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210010000,AI_VECTOR_CORE,46,51,11.740,1783586425198787.680	,1783586425198799.420	
2,merge_32x32_to_64x64_inverse_kernel_0,MIX_AIC,46,52,131.122,1783586425207073.025	,1783586425207204.148	
2,Transpose_9a632dc5b6be9e1b4215e3cf2b1aff0d_high_performance_13,AI_VECTOR_CORE,46,53,10.900,1783586425207205.248	,1783586425207216.148	
2,Transpose_be837fe498fad076d01c0ce8dfd3d014_high_performance_13,AI_VECTOR_CORE,46,54,15.760,1783586425207335.271	,1783586425207351.031	
2,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210000000,AI_VECTOR_CORE,46,55,8.400,1783586425207988.764	,1783586425207997.164	
2,Transpose_be837fe498fad076d01c0ce8dfd3d014_high_performance_5,AI_VECTOR_CORE,46,56,40.080,1783586425208070.185	,1783586425208110.266	
2,RecomputeWUFwd_db1266119f353de0ebc225d450c249d8_1,MIX_AIC,46,57,205.704,1783586425210409.092	,1783586425210614.796	
2,ZerosLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210010000,AI_VECTOR_CORE,46,58,19.140,1783586425211089.506	,1783586425211108.646	
2,ChunkGatedDeltaRuleFwdH_fc2a70c4a72e8f2b344fa13de449cc34_0,MIX_AIC,46,59,302.186,1783586425213746.359	,1783586425214048.545	
2,ChunkFwdO_d4fc774159b2651ab5cc995d4a7d029b_0,MIX_AIC,46,60,234.184,1783586425215265.069	,1783586425215499.254	
2,Transpose_9a632dc5b6be9e1b4215e3cf2b1aff0d_high_performance_13,AI_VECTOR_CORE,46,61,12.180,1783586425215500.454	,1783586425215512.634	
2,Transpose_be837fe498fad076d01c0ce8dfd3d014_high_performance_5,AI_VECTOR_CORE,46,62,53.281,1783586425215512.674	,1783586425215565.955	
2,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210010000,AI_VECTOR_CORE,46,63,50.281,1783586425215913.122	,1783586425215963.403	
2,IsFinite_b7bc55b48bdf94d74b955b3c42bf74f0_high_performance_2590,AI_VECTOR_CORE,46,64,56.221,1783586425217571.015	,1783586425217627.236	
2,ReduceAll_4f12aca806ed482b082e86983ec4bb6f_high_performance_1100400,MIX_AIV,46,65,26.220,1783586425231693.737	,1783586425231719.958	
2,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210010000,AI_VECTOR_CORE,46,66,20.960,1783586425232262.229	,1783586425232283.189	
2,Pows_87754663653454355677y73521552341_high_performance_301,AI_VECTOR_CORE,46,67,51.161,1783586425234643.316	,1783586425234694.477	
2,ReduceMean_483c206567cda955ff1cdfd62744bc74_high_precision_61100400,MIX_AIV,46,68,33.720,1783586425234695.677	,1783586425234729.398	
2,Fill_f2e41efad1a938074b5e381afcc7acf3_high_performance_210000000,AI_VECTOR_CORE,46,69,1.360,1783586425239866.721	,1783586425239868.081	
2,BroadcastTo_9a632dc5b6be9e1b4215e3cf2b1aff0d_high_performance_232010000,AI_VECTOR_CORE,46,70,45.260,1783586425248464.592	,1783586425248509.853	
2,RealDiv_ee98c6628030785f610b924ab1557b31_high_precision_223010000,AI_VECTOR_CORE,46,71,38.220,1783586425250592.535	,1783586425250630.756	
2,Pow_ee98c6628030785f610b924ab1557b31_high_performance_223010000,AI_VECTOR_CORE,46,72,483.969,1783586425253252.348	,1783586425253736.318	
2,Mul_ee98c6628030785f610b924ab1557b31_high_performance_223010000,AI_VECTOR_CORE,46,73,52.661,1783586425255315.809	,1783586425255368.470	
2,Mul_ee98c6628030785f610b924ab1557b31_high_performance_210010000,AI_VECTOR_CORE,46,74,100.662,1783586425255472.572	,1783586425255573.234	
2,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210010000,AI_VECTOR_CORE,46,75,28.160,1783586425255585.975	,1783586425255614.135	
2,Transpose_9a632dc5b6be9e1b4215e3cf2b1aff0d_high_performance_13,AI_VECTOR_CORE,46,76,12.500,1783586425255635.176	,1783586425255647.676	
2,Transpose_be837fe498fad076d01c0ce8dfd3d014_high_performance_13,AI_VECTOR_CORE,46,77,17.160,1783586425255667.256	,1783586425255684.417	
