Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
2,DSARandomNormal,DSA_SQE,4,2386.608,13.54,596.652,792.296,65.263
2,chunk_scaled_dot_kkt_fwd_kernel,MIX_AIC,1,239.965,239.965,239.965,239.965,6.562
2,merge_16x16_to_32x32_inverse_kernel,MIX_AIC,1,235.865,235.865,235.865,235.865,6.45
2,solve_tril_16x16_kernel_paral_v3,AI_VECTOR_CORE,1,215.344,215.344,215.344,215.344,5.889
2,l2norm_fwd_kernel,AI_VECTOR_CORE,2,140.123,67.961,70.061,72.161,3.832
2,merge_32x32_to_64x64_inverse_kernel,MIX_AIC,1,127.323,127.323,127.323,127.323,3.482
2,Cast,AI_VECTOR_CORE,6,98.842,3.72,16.474,30.281,2.703
2,Transpose,AI_VECTOR_CORE,5,89.022,11.64,17.804,37.281,2.434
2,ZerosLike,AI_VECTOR_CORE,3,27.001,1.86,9,13.22,0.738
2,Sub,AI_VECTOR_CORE,11,26.8,1.68,2.436,4.48,0.733
2,Add,AI_VECTOR_CORE,5,13.9,2.5,2.78,3.38,0.38
2,LogSigmoid,AI_VECTOR_CORE,1,10.42,10.42,10.42,10.42,0.285
2,DSARandomUniform,DSA_SQE,1,9.38,9.38,9.38,9.38,0.257
2,chunk_local_cumsum_scalar_kernel,AI_VECTOR_CORE,1,9.28,9.28,9.28,9.28,0.254
2,FloorDiv,AI_VECTOR_CORE,5,9.1,1.62,1.82,2.2,0.249
2,Sigmoid,AI_VECTOR_CORE,1,6.78,6.78,6.78,6.78,0.185
2,ReduceMin,MIX_AIV,1,4.68,4.68,4.68,4.68,0.128
2,ReduceMean,MIX_AIV,1,3.36,3.36,3.36,3.36,0.092
2,ReduceMax,MIX_AIV,1,3.12,3.12,3.12,3.12,0.085
