block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,1037.459961,1867428,0.107380,0.107380,0.000000,7340032,896,896,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1037.166138,1866899,0.520557,0.466166,0.000000,0.000000,0.000000,0.054390,22268640,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1037.020020,1866636,0.520550,0.466160,0.000000,0.000000,0.000000,0.054389,22268640,
1,cube0,1039.717773,1871492,0.107380,0.107380,0.000000,7340032,896,896,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1039.351074,1870832,0.520623,0.466226,0.000000,0.000000,0.000000,0.054397,22268640,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038.432251,1869178,0.520588,0.466194,0.000000,0.000000,0.000000,0.054393,22268640,
2,cube0,1045.015503,1881028,0.107380,0.107380,0.000000,7340032,896,896,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1044.834961,1880703,0.520507,0.466122,0.000000,0.000000,0.000000,0.054384,22268640,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1044.287720,1879718,0.520566,0.466174,0.000000,0.000000,0.000000,0.054391,22268640,
3,cube0,1041.520508,1874737,0.107380,0.107380,0.000000,7340032,896,896,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1041.351685,1874433,0.520560,0.466169,0.000000,0.000000,0.000000,0.054390,22268640,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1041.023926,1873843,0.520377,0.466006,0.000000,0.000000,0.000000,0.054371,22268640,
4,cube0,1015.987244,1828777,0.094379,0.094379,0.000000,5505024,672,672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1012.011658,1821621,0.389987,0.345312,0.000000,0.000000,0.000000,0.044674,16621792,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1015.708313,1828275,0.389479,0.344769,0.000000,0.000000,0.000000,0.044710,16584928,
5,cube0,1021.858887,1839346,0.080535,0.080535,0.000000,5505024,672,672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.604431,1838888,0.390694,0.349743,0.000000,0.000000,0.000000,0.040950,16704736,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.542236,1838776,0.390590,0.349650,0.000000,0.000000,0.000000,0.040940,16704736,
6,cube0,1027.482788,1849469,0.080535,0.080535,0.000000,5505024,672,672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1027.200562,1848961,0.390678,0.349728,0.000000,0.000000,0.000000,0.040949,16704736,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1026.883911,1848391,0.390552,0.349616,0.000000,0.000000,0.000000,0.040935,16704736,
7,cube0,1016.993347,1830588,0.080535,0.080535,0.000000,5505024,672,672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1013.635559,1824544,0.390638,0.349693,0.000000,0.000000,0.000000,0.040944,16704736,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016.716125,1830089,0.390590,0.349650,0.000000,0.000000,0.000000,0.040940,16704736,
8,cube0,1027.041138,1848674,0.080535,0.080535,0.000000,5505024,672,672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1026.760010,1848168,0.390649,0.349703,0.000000,0.000000,0.000000,0.040946,16704736,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1026.459473,1847627,0.390565,0.349627,0.000000,0.000000,0.000000,0.040937,16704736,
9,cube0,1022.164429,1839896,0.080535,0.080535,0.000000,5505024,672,672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.867798,1839362,0.390584,0.349645,0.000000,0.000000,0.000000,0.040939,16704736,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.163879,1836295,0.390582,0.349643,0.000000,0.000000,0.000000,0.040939,16704736,
10,cube0,1031.456665,1856622,0.080535,0.080535,0.000000,5505024,672,672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031.106689,1855992,0.390535,0.349601,0.000000,0.000000,0.000000,0.040934,16704736,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030.692261,1855246,0.390561,0.349624,0.000000,0.000000,0.000000,0.040937,16704736,
11,cube0,1030.653320,1855176,0.087181,0.087181,0.000000,5505024,672,672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030.134399,1854242,0.389912,0.345246,0.000000,0.000000,0.000000,0.044666,16621792,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1029.931152,1853876,0.389499,0.344786,0.000000,0.000000,0.000000,0.044712,16584928,
12,cube0,1024.060059,1843308,0.098913,0.098913,0.000000,5505024,672,672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023.513916,1842325,0.389911,0.345245,0.000000,0.000000,0.000000,0.044666,16621792,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023.036682,1841466,0.389613,0.344887,0.000000,0.000000,0.000000,0.044725,16584928,
13,cube0,1025.790039,1846422,0.080636,0.080636,0.000000,5505024,672,672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1025.280518,1845505,0.390588,0.349648,0.000000,0.000000,0.000000,0.040939,16704736,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1025.099487,1845179,0.390554,0.349618,0.000000,0.000000,0.000000,0.040935,16704736,
14,cube0,1020.161133,1836290,0.080535,0.080535,0.000000,5505024,672,672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019.844971,1835721,0.390600,0.349659,0.000000,0.000000,0.000000,0.040941,16704736,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019.064453,1834316,0.390576,0.349637,0.000000,0.000000,0.000000,0.040938,16704736,
15,cube0,1020.739441,1837331,0.080535,0.080535,0.000000,5505024,672,672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.390015,1836702,0.390600,0.349659,0.000000,0.000000,0.000000,0.040940,16704736,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.080017,1836144,0.390498,0.349568,0.000000,0.000000,0.000000,0.040930,16704736,
16,cube0,1018.450562,1833211,0.080535,0.080535,0.000000,5505024,672,672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1018.105530,1832590,0.390578,0.349639,0.000000,0.000000,0.000000,0.040938,16704736,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1017.771118,1831988,0.390538,0.349604,0.000000,0.000000,0.000000,0.040934,16704736,
17,cube0,1020.546692,1836984,0.080535,0.080535,0.000000,5505024,672,672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1018.963867,1834135,0.390576,0.349638,0.000000,0.000000,0.000000,0.040938,16704736,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.205017,1836369,0.390537,0.349603,0.000000,0.000000,0.000000,0.040934,16704736,
18,cube0,1028.292725,1850927,0.080535,0.080535,0.000000,5505024,672,672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1027.733276,1849920,0.390643,0.349697,0.000000,0.000000,0.000000,0.040945,16704736,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1027.166626,1848900,0.390562,0.349625,0.000000,0.000000,0.000000,0.040937,16704736,
19,cube0,1022.494446,1840490,0.080535,0.080535,0.000000,5505024,672,672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.425537,1838566,0.390605,0.349664,0.000000,0.000000,0.000000,0.040941,16704736,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.876648,1839378,0.390497,0.349567,0.000000,0.000000,0.000000,0.040930,16704736,
