block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,1037.459961,1867428,5440,19842,22177,108873,22245,108864,21.517284,16.944679,17.346865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1037.166138,1866899,12323,997,40674,19386,40714,19482,92.515015,67.678955,70.155563,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1037.020020,1866636,12195,1125,40884,19350,40648,19374,91.554054,67.798698,70.167542,
1,cube0,1039.717773,1871492,5681,19601,22224,108826,22319,108790,22.470531,16.990833,17.472803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1039.351074,1870832,12305,1015,41193,18934,41273,18856,92.379883,68.575371,70.949120,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038.432251,1869178,12306,1014,40758,19366,40845,19287,92.387390,67.857735,70.303795,
2,cube0,1045.015503,1881028,5596,19686,22259,108716,22298,108886,22.134325,16.996174,17.448103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1044.834961,1880703,12213,1107,41255,18910,41174,18917,91.689186,68.544601,70.852547,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1044.287720,1879718,12338,982,40637,19444,40710,19465,92.627625,67.644859,70.136101,
3,cube0,1041.520508,1874737,5598,19684,22265,108782,22198,108914,22.142235,16.960318,17.416096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1041.351685,1874433,12178,1142,41064,19160,40943,19089,91.426430,68.193687,70.510422,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1041.023926,1873843,12295,1025,40627,19462,40688,19479,92.304802,67.618248,70.079956,
4,cube0,1015.987244,1828777,7029,14509,17290,80012,17347,80053,32.635342,17.789751,19.268406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
