block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,1037.459961,1867428,29.897680,29.853743,29.840881,11.307957,7046,0.150235,1797,0.590905,18,0.004202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32769.875000,12417.875000,32784.000000,11.308236,743.500000,0.339490,0.000000,0.000000,12288.000000,5.345734,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1037.166138,1866899,5.686135,13.612621,13.688430,5.757960,1666,0.322147,769,0.118759,15032.000000,6323.125000,NA,NA,NA,NA,NA,NA,NA,NA,14948.750000,6.185868,6244.250000,3.043969,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1037.020020,1866636,5.686135,13.612621,13.688430,5.757960,1666,0.327151,769,0.125617,15032.000000,6323.125000,NA,NA,NA,NA,NA,NA,NA,NA,14948.750000,6.185868,6244.250000,3.043969,
1,cube0,1039.717773,1871492,29.897680,29.853743,29.840881,11.307957,7046,0.151013,1797,0.593935,18,0.004961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32769.875000,12417.875000,32784.000000,11.308236,743.500000,0.339490,0.000000,0.000000,12288.000000,5.345734,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1039.351074,1870832,5.686135,13.612621,13.688430,5.757960,1666,0.321398,769,0.115086,15032.000000,6323.125000,NA,NA,NA,NA,NA,NA,NA,NA,14948.750000,6.185868,6244.250000,3.043969,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038.432251,1869178,5.686135,13.612621,13.688430,5.757960,1666,0.323676,769,0.126691,15032.000000,6323.125000,NA,NA,NA,NA,NA,NA,NA,NA,14948.750000,6.185868,6244.250000,3.043969,
2,cube0,1045.015503,1881028,29.897680,29.853743,29.840881,11.307957,7046,0.150288,1797,0.591614,18,0.004053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32769.875000,12417.875000,32784.000000,11.308236,743.500000,0.339490,0.000000,0.000000,12288.000000,5.345734,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1044.834961,1880703,5.686135,13.612621,13.688430,5.757960,1666,0.326319,769,0.121267,15032.000000,6323.125000,NA,NA,NA,NA,NA,NA,NA,NA,14948.750000,6.185868,6244.250000,3.043969,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1044.287720,1879718,5.686135,13.612621,13.688430,5.757960,1666,0.315507,769,0.130171,15032.000000,6323.125000,NA,NA,NA,NA,NA,NA,NA,NA,14948.750000,6.185868,6244.250000,3.043969,
3,cube0,1041.520508,1874737,29.897680,29.853743,29.840881,11.307957,7046,0.150233,1797,0.587851,18,0.003756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32769.875000,12417.875000,32784.000000,11.308236,743.500000,0.339490,0.000000,0.000000,12288.000000,5.345734,NA,NA,NA,NA,
