block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id11_time(us),aic_scalar_wait_id12_time(us),aic_scalar_wait_id3_time(us),aiv_scalar_wait_id13_time(us),aiv_scalar_wait_id5_time(us),
0,cube0,1037.459961,1867428,112.426666,0.107380,157.295563,0.150235,618.677246,0.590905,4.400000,0.004202,161.149277,707.001099,0.675264,16.575293,0.000047,857.349976,0.818863,60.988888,109.059998,47.890556,0.000000,0.000000,0.000000,1.433889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.393333,0.693889,719.245544,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1037.166138,1866899,545.022766,0.520557,337.287781,0.322147,42.267284,124.340553,0.118759,47.892506,0.003710,696.566101,0.665297,85.862221,90.736115,0.000000,0.000000,0.000000,326.231110,37.191113,5.156667,NA,NA,NA,39.797779,334.170013,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1037.020020,1866636,545.015564,0.520550,342.527222,0.327151,41.620747,131.520554,0.125617,45.277950,0.003606,709.873352,0.678007,85.812225,90.763336,0.000000,0.000000,0.000000,333.620544,33.291111,4.743889,NA,NA,NA,44.416668,330.735565,
1,cube0,1039.717773,1871492,112.426666,0.107380,158.110550,0.151013,621.849426,0.593935,5.193889,0.004961,136.517517,713.924438,0.681876,16.414553,0.000047,893.151123,0.853057,60.993332,109.057777,47.254444,0.000000,0.000000,0.000000,2.462778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.566667,0.855556,718.766113,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1039.351074,1870832,545.092773,0.520623,336.503326,0.321398,42.365818,120.495003,0.115086,49.420979,0.003668,701.737244,0.670236,85.873886,90.730003,0.000000,0.000000,0.000000,324.053894,45.387779,3.650556,NA,NA,NA,37.116112,333.438324,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038.432251,1869178,545.055542,0.520588,338.888336,0.323676,42.067657,132.645004,0.126691,44.894123,0.003459,724.144470,0.691637,85.792221,90.773331,0.000000,0.000000,0.000000,320.473877,35.550556,3.843333,NA,NA,NA,40.801666,337.366669,
2,cube0,1045.015503,1881028,112.426666,0.107380,157.351669,0.150288,619.419434,0.591614,4.243889,0.004053,167.077133,712.896667,0.680895,16.438215,0.000047,889.115540,0.849203,60.992222,109.058334,47.981110,0.000000,0.000000,0.000000,2.740556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.875556,0.916111,722.523315,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1044.834961,1880703,544.971130,0.520507,341.655548,0.326319,41.726936,126.966667,0.121267,46.901924,0.003188,730.155029,0.697378,85.855553,90.739441,0.000000,0.000000,0.000000,328.112793,29.847778,3.271111,NA,NA,NA,39.578888,348.535004,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1044.287720,1879718,545.032227,0.520566,330.336121,0.315507,43.156769,136.289444,0.130171,43.693630,0.003218,705.931641,0.674242,85.787781,90.775558,0.000000,0.000000,0.000000,305.551117,29.510555,3.421667,NA,NA,NA,44.597221,361.290009,
3,cube0,1041.520508,1874737,112.426666,0.107380,157.294449,0.150233,615.479980,0.587851,3.932778,0.003756,180.294159,700.248901,0.668815,16.735121,0.000047,880.887207,0.841344,60.991112,109.058891,48.027779,0.000000,0.000000,0.000000,2.988889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.640555,0.737778,723.977234,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1041.351685,1874433,545.026123,0.520560,328.821655,0.314061,43.355537,132.476105,0.126529,44.951359,0.003272,687.831116,0.656954,85.850555,90.741669,0.000000,0.000000,0.000000,307.546661,38.984444,3.091111,NA,NA,NA,45.136665,353.706116,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1041.023926,1873843,544.834473,0.520377,322.197784,0.307734,44.246857,127.483330,0.121761,46.711842,0.003700,688.677795,0.657763,85.793335,90.772781,0.000000,0.000000,0.000000,305.313324,41.497776,4.896111,NA,NA,NA,48.781666,349.340546,
4,cube0,1015.987244,1828777,98.814445,0.094379,117.054443,0.111800,498.946655,0.476549,4.098333,0.003914,429.909698,574.112244,0.548340,15.308962,0.000063,694.222229,0.663058,45.829445,81.920555,44.672779,0.000000,0.000000,0.000000,2.830000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.706116,1.558889,598.657776,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1012.011658,1821621,408.316101,0.389987,263.084991,0.251275,40.180939,97.848335,0.093456,45.003033,0.004877,549.480530,0.524814,64.470001,70.633888,0.000000,0.000000,0.000000,240.660553,48.530556,5.705000,NA,NA,NA,214.988327,284.292236,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1015.708313,1828275,407.785004,0.389479,271.885010,0.259680,38.880421,100.232780,0.095733,43.804008,0.004913,588.240540,0.561834,64.408890,70.666664,0.000000,0.000000,0.000000,246.529449,45.592777,5.566111,NA,NA,NA,220.294998,286.045563,
5,cube0,1021.858887,1839346,84.320000,0.080535,117.758331,0.112472,488.749451,0.466809,3.981667,0.003803,135.925552,552.077209,0.527294,15.919989,0.000063,693.998352,0.662845,45.823891,81.887779,42.208889,0.000000,0.000000,0.000000,3.116667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.008896,1.030000,600.367798,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.604431,1838888,409.056122,0.390694,266.904999,0.254924,40.062775,98.086670,0.093684,45.524448,0.004997,576.566650,0.550685,64.561111,68.283890,0.000000,0.000000,0.000000,246.051666,53.719444,5.233889,NA,NA,NA,201.937775,294.554443,
